LibraryItem_ID,Family,Group,Name,RequiredFor
7753,(a) Section GG Mobility,A-C: Bed mobility,A. Roll left and right,
7754,(a) Section GG Mobility,A-C: Bed mobility,B. Sit to lying,
7755,(a) Section GG Mobility,A-C: Bed mobility,C. Lying to sitting on side of bed,
7756,(a) Section GG Mobility,D-G: Transfers,D. Sit to stand,
7757,(a) Section GG Mobility,D-G: Transfers,E. Chair/bed-to-chair transfer,
7758,(a) Section GG Mobility,D-G: Transfers,F. Toilet transfer,
10956,(a) Section GG Mobility,D-G: Transfers,FF. Tub/Shower transfer,
7759,(a) Section GG Mobility,D-G: Transfers,G. Car transfer,
7760,(a) Section GG Mobility,I-L: Ambulation,I. Walk 10 feet,
7761,(a) Section GG Mobility,I-L: Ambulation,J. Walk 50 feet with Two Turns,
7762,(a) Section GG Mobility,I-L: Ambulation,K. Walk 150 feet,
7763,(a) Section GG Mobility,I-L: Ambulation,L. Walking 10 feet on uneven surfaces,
7764,(a) Section GG Mobility,M-O: Steps,M. 1 step (curb),
7765,(a) Section GG Mobility,M-O: Steps,N. 4 steps,
7766,(a) Section GG Mobility,M-O: Steps,O. 12 steps,
7767,(a) Section GG Mobility,P: Picking up object,P. Picking up object,
7769,(a) Section GG Mobility,R-S: Wheelchair,R. Wheel 50 feet with two turns,
7771,(a) Section GG Mobility,R-S: Wheelchair,S. Wheel 150 feet,
7780,(b) Section GG Self Care,A: Eating,A. Eating,
7781,(b) Section GG Self Care,B-E/I: Hygiene,B. Oral hygiene,
7782,(b) Section GG Self Care,B-E/I: Hygiene,C. Toileting hygiene,
7783,(b) Section GG Self Care,B-E/I: Hygiene,E. Shower/bathe self,
7784,(b) Section GG Self Care,F-H: Dressing,F. Upper body dressing,
7785,(b) Section GG Self Care,F-H: Dressing,G. Lower body dressing,
7786,(b) Section GG Self Care,F-H: Dressing,H. Putting on/taking off footwear,
10955,(b) Section GG Self Care,B-E/I: Hygiene,I. Personal hygiene,
7511,(c) Other PT/OT Items,Fall Risk,30 Second Sit to Stand Test,
7672,(c) Other PT/OT Items,Ambulation and Balance,Ambulation Distance / Assistance,
7673,(c) Other PT/OT Items,Ambulation and Balance,Ambulation Distance / Assistance,
7674,(c) Other PT/OT Items,Ambulation and Balance,Ambulation Distance / Assistance,
7675,(c) Other PT/OT Items,Ambulation and Balance,Ambulation Distance / Assistance,
5401,(c) Other PT/OT Items,Ambulation and Balance,Berg Balance Assessment,
7514,(c) Other PT/OT Items,Ambulation and Balance,Berg Balance Assessment,
8298,(c) Other PT/OT Items,Ambulation and Balance,Elderly Mobility Scale,
7659,(c) Other PT/OT Items,Other IADLs,Emergency Procedures,
10208,(c) Other PT/OT Items,Other IADLs,Emergency Procedures,
10631,(c) Other PT/OT Items,Other IADLs,Emergency Procedures,
6946,(c) Other PT/OT Items,Functional Abilities,Function in Sitting Test,
8300,(c) Other PT/OT Items,Functional Abilities,Function in Sitting Test,
7918,(c) Other PT/OT Items,Functional Abilities,Functional Posture,
7936,(c) Other PT/OT Items,Functional Abilities,Functional Posture,
7521,(c) Other PT/OT Items,Functional Abilities,Functional Reach Assessment,
7522,(c) Other PT/OT Items,Functional Abilities,Functional Reach Assessment,
7523,(c) Other PT/OT Items,Functional Abilities,Functional Reach Assessment,
7524,(c) Other PT/OT Items,Functional Abilities,Functional Reach Assessment,
7525,(c) Other PT/OT Items,Functional Abilities,Functional Reach Assessment,
7526,(c) Other PT/OT Items,Functional Abilities,Functional Reach Assessment,
10827,(c) Other PT/OT Items,Functional Abilities,Functional Reach Assessment,
7678,(c) Other PT/OT Items,Hygiene,Gather Grooming Items,
10639,(c) Other PT/OT Items,Hygiene,Gather Grooming Items,
5480,(c) Other PT/OT Items,Hygiene,Grooming,
10164,(c) Other PT/OT Items,Hygiene,Grooming,
5482,(c) Other PT/OT Items,Hygiene,Hygiene,
10166,(c) Other PT/OT Items,Hygiene,Hygiene,
3922,(c) Other PT/OT Items,Functional Abilities,Incontinence Severity Rating,
8308,(c) Other PT/OT Items,Functional Abilities,Lower Extremity Functional Scale (LEFS),
5788,(c) Other PT/OT Items,Other IADLs,Medication Management,
7690,(c) Other PT/OT Items,Other IADLs,Medication Management,
10217,(c) Other PT/OT Items,Other IADLs,Medication Management,
10649,(c) Other PT/OT Items,Other IADLs,Medication Management,
10681,(c) Other PT/OT Items,Functional Abilities,Modified Barthel ADL Index,OT
10682,(c) Other PT/OT Items,Functional Abilities,Modified Barthel ADL Index,OT
10983,(c) Other PT/OT Items,Functional Abilities,Modified Barthel ADL Index,OT
7528,(c) Other PT/OT Items,Ambulation and Balance,One Leg Stance,
10783,(c) Other PT/OT Items,Pain,Pain with Activity,
10785,(c) Other PT/OT Items,Pain,Pain with Activity,
10787,(c) Other PT/OT Items,Pain,Pain at Rest,
10788,(c) Other PT/OT Items,Pain,Pain at Rest,
10789,(c) Other PT/OT Items,Pain,Pain at Rest,
10790,(c) Other PT/OT Items,Pain,Pain at Rest,
10993,(c) Other PT/OT Items,Pain,Pain at Rest,
10994,(c) Other PT/OT Items,Pain,Pain at Rest,
8067,(c) Other PT/OT Items,SPPB,SPPB-3: Chair Stand Tests,
10721,(c) Other PT/OT Items,Gait Speed,4MWT Gait Speed Test,PT
10722,(c) Other PT/OT Items,Gait Speed,4MWT Gait Speed Test,PT
10734,(c) Other PT/OT Items,SPPB,SPPB-1: Balance Tests,
10735,(c) Other PT/OT Items,SPPB,SPPB-1: Balance Tests,
10675,(c) Other PT/OT Items,Gait Speed,4MWT Gait Speed Test,PT
10980,(c) Other PT/OT Items,Gait Speed,4MWT Gait Speed Test,PT
10744,(c) Other PT/OT Items,SPPB,SPPB-2: 4MWT Gait Speed Test,
10745,(c) Other PT/OT Items,SPPB,SPPB-2: 4MWT Gait Speed Test,
10750,(c) Other PT/OT Items,SPPB,SPPB-3: Chair Stand Tests,
10751,(c) Other PT/OT Items,SPPB,SPPB-3: Chair Stand Tests,
10752,(c) Other PT/OT Items,SPPB,SPPB-1: Balance Tests,
10754,(c) Other PT/OT Items,SPPB,SPPB-1: Balance Tests,
10756,(c) Other PT/OT Items,SPPB,SPPB-3: Chair Stand Tests,
10757,(c) Other PT/OT Items,SPPB,SPPB-3: Chair Stand Tests,
10758,(c) Other PT/OT Items,SPPB,SPPB-1: Balance Tests,
10810,(c) Other PT/OT Items,SPPB,SPPB-3: Chair Stand Tests,
10812,(c) Other PT/OT Items,SPPB,SPPB-3: Chair Stand Tests,
7529,(c) Other PT/OT Items,Ambulation and Balance,Sitting Balance Scale,
5800,(c) Other PT/OT Items,Ambulation and Balance,Stairs,
10227,(c) Other PT/OT Items,Ambulation and Balance,Stairs,
8305,(c) Other PT/OT Items,Fall Risk,Timed Up and Go (TUG),
6477,(d) Other ST Items,Communication,Auditory Comprehension,
7379,(d) Other ST Items,Communication,Auditory Comprehension,
7386,(d) Other ST Items,Communication,Auditory Comprehension,
7387,(d) Other ST Items,Communication,Auditory Comprehension,
7388,(d) Other ST Items,Communication,Auditory Comprehension,
7389,(d) Other ST Items,Communication,Auditory Comprehension,
7390,(d) Other ST Items,Communication,Auditory Comprehension,
10509,(d) Other ST Items,Communication,Auditory Comprehension,
8167,(d) Other ST Items,Swallowing,Dysphagia Outcome and Severity Scale (DOSS),
6801,(d) Other ST Items,Swallowing,Functional Oral Intake Scale (FOIS),
8170,(d) Other ST Items,Swallowing,Functional Oral Intake Scale (FOIS),
7562,(d) Other ST Items,Cognition,Global Deterioration Scale (GDS),
7572,(d) Other ST Items,Cognition,Memory,
10193,(d) Other ST Items,Cognition,Memory,
6482,(d) Other ST Items,Pragmatics,Pragmatic Skills,
10510,(d) Other ST Items,Pragmatics,Pragmatic Skills,
10511,(d) Other ST Items,Communication,Reading Comprehension,
6486,(d) Other ST Items,Communication,Verbal Expression,
10512,(d) Other ST Items,Communication,Verbal Expression,
7368,(d) Other ST Items,Communication,Verbal Language Skills,
7371,(d) Other ST Items,Communication,Verbal Language Skills,
7373,(d) Other ST Items,Communication,Verbal Language Skills,
7374,(d) Other ST Items,Communication,Verbal Language Skills,
7375,(d) Other ST Items,Communication,Verbal Language Skills,
7376,(d) Other ST Items,Communication,Verbal Language Skills,
7408,(d) Other ST Items,Communication,Verbal Language Skills,
10513,(d) Other ST Items,Communication,Written Expression,
11023,(c) Other PT/OT Items,Transfers,Transfers,
11030,(d) Other ST Items,Cognition,Memory,
11059,(c) Other PT/OT Items,Transfers,Transfers,
11060,(c) Other PT/OT Items,Gait Speed,4MWT Gait Speed Test,PT
11061,(c) Other PT/OT Items,Functional Abilities,Modified Barthel ADL Index,OT
11066,(d) Other ST Items,Communication,Auditory Comprehension,
11067,(d) Other ST Items,Pragmatics,Pragmatic Skills,
11068,(d) Other ST Items,Communication,Reading Comprehension,
11069,(d) Other ST Items,Communication,Verbal Expression,
11070,(d) Other ST Items,Communication,Written Expression,
11071,(d) Other ST Items,Swallowing,Functional Oral Intake Scale (FOIS),
11080,(c) Other PT/OT Items,Fall Risk,Timed Up and Go (TUG),
919,(d) Other ST Items,Cognition,Attention,
961,(d) Other ST Items,Cognition,Verbal Sequencing,
5526,(c) Other PT/OT Items,Pain,Pain at Rest,
8481,(c) Other PT/OT Items,Functional Abilities,FA_UBdressing,
10175,(c) Other PT/OT Items,Functional Abilities,Clinic_FA_UBdressing,
10195,(d) Other ST Items,Cognition,Problem Solving,
10223,(c) Other PT/OT Items,Functional Abilities,FA_LBbathing,
10234,(c) Other PT/OT Items,Functional Abilities,FA_UBbathing,
11000,(c) Other PT/OT Items,Functional Abilities,Bal_FR_Sit_Forw,
11006,(c) Other PT/OT Items,Functional Abilities,Bal_FR_Stand_Forw,
11007,(c) Other PT/OT Items,Functional Abilities,Bal_FR_Stand_Forw_OT,
11031,(d) Other ST Items,Cognition,Problem Solving,
11062,(d) Other ST Items,Communication,Motor Speech,
11063,(d) Other ST Items,Communication,Voice,
11081,(d) Other ST Items,Communication,Time Tolerated,
